"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2023,4,9,"Sant Andreu",57,"la Trinitat Vella",6992,"11.0"
2023,4,9,"Sant Andreu",58,"Baró de Viver",1748,"5.9"
2023,4,9,"Sant Andreu",59,"el Bon Pastor",9117,"6.4"
2023,4,9,"Sant Andreu",60,"Sant Andreu",36330,"6.5"
2023,4,9,"Sant Andreu",61,"la Sagrera",18399,"5.7"
2023,4,9,"Sant Andreu",62,"el Congrés i els Indians",9372,"5.4"
2023,4,9,"Sant Andreu",63,"Navas",14023,"5.6"
2023,4,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25085,"5.9"
2023,4,10,"Sant Martí",65,"el Clot",17533,"5.9"
2023,4,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10655,"4.8"
2023,4,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6456,"5.2"
2023,4,10,"Sant Martí",68,"el Poblenou",23336,"5.0"
2023,4,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8896,"6.8"
2023,4,10,"Sant Martí",70,"el Besòs i el Maresme",18138,"7.6"
2023,4,10,"Sant Martí",71,"Provençals del Poblenou",14151,"6.0"
2023,4,10,"Sant Martí",72,"Sant Martí de Provençals",16204,"7.1"
2023,4,10,"Sant Martí",73,"la Verneda i la Pau",17733,"7.3"
2023,5,1,"Ciutat Vella",1,"el Raval",34952,"8.1"
2023,5,1,"Ciutat Vella",2,"el Barri Gòtic",18929,"4.4"
2023,5,1,"Ciutat Vella",3,"la Barceloneta",10821,"7.5"
2023,5,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17298,"6.4"
2023,5,2,"Eixample",5,"el Fort Pienc",22678,"4.6"
2023,5,2,"Eixample",6,"la Sagrada Família",34523,"4.8"
2023,5,2,"Eixample",7,"la Dreta de l'Eixample",29919,"3.8"
2023,5,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29194,"3.9"
2023,5,2,"Eixample",9,"la Nova Esquerra de l'Eixample",37620,"4.7"
